Sukupuoli,Ekr-lyhenne,Vaalipiiri,Etunimi,Sukunimi
na,vas,Oulun vaalipiiri,Anne,Huotari
na,sd,Kymen vaalipiiri,Sinikka,Hurskainen
na,vas,Oulun läänin vaalipiiri,Terttu,Huttu-Juntunen
mi,kesk,Kuopion vaalipiiri,Jorma,Huuhtanen
mi,vas,Lapin vaalipiiri,Matti,Huutola
na,Lkp,Oulun läänin vaalipiiri,Helvi,Hyrynkangas
na,kesk,Varsinais-Suomen vaalipiiri,Liisa,Hyssälä
na,Skdl,Helsingin kaupungin vaalipiiri,Anna-Liisa,Hyvönen
mi,kok,Kymen vaalipiiri,Jyri,Häkämies
mi,kok,Kymen läänin vaalipiiri,Kari,Häkämies
na,sd,Uudenmaan läänin vaalipiiri,Tuulikki,Hämäläinen
mi,kesk,Oulun vaalipiiri,Tuomo,Hänninen
na,Sdp,Helsingin kaupungin vaalipiiri,Ulpu,Iivari
na,kesk,Keski-Suomen läänin vaalipiiri,Pirkko,Ikonen
na,kesk,Pohjois-Karjalan läänin vaalipiiri,Tuula,Ikonen-Graafmans
mi,kok,Helsingin kaupungin vaalipiiri,Raimo,Ilaskivi
mi,vas,Varsinais-Suomen vaalipiiri,Mikko,Immonen
na,kesk,Oulun vaalipiiri,Tytti,Isohookana-Asunmaa
mi,Lkp,Helsingin kaupungin vaalipiiri,Jaakko,Itälä
mi,kok,Varsinais-Suomen vaalipiiri,Ville,Itälä
na,sd,Oulun vaalipiiri,Liisa,Jaakonsaari
mi,r,Ahvenanmaan maakunnan vaalipiiri,Gunnar,Jansson
mi,r,Ahvenanmaan maakunnan vaalipiiri,Roger,Jansson
mi,sd,Hämeen läänin eteläinen vaalipiiri,Ilkka,Joenpalo
na,vas,Turun läänin eteläinen vaalipiiri,Anna-Liisa,Jokinen
mi,kok,Kymen läänin vaalipiiri,Pekka,Jokinen
mi,kesk,Pohjois-Karjalan läänin vaalipiiri,Esko,Jokiniemi
na,kok,Oulun läänin vaalipiiri,Riitta,Jouppila
mi,ps,Satakunnan vaalipiiri,Anssi,Joutsenlahti
na,kok,Helsingin kaupungin vaalipiiri,Vuokko,Juhola
mi,sd,Uudenmaan vaalipiiri,Mikael,Jungner
na,ps,Uudenmaan vaalipiiri,Johanna,Jurva
mi,vihr,Uudenmaan vaalipiiri,Timo,Juurikkala
na,sd,Hämeen vaalipiiri,Ulla,Juurola
mi,kok,Kymen läänin vaalipiiri,Heikki,Järvenpää
mi,kesk,Turun läänin eteläinen vaalipiiri,Timo,Järvilahti
na,skl,Hämeen läänin eteläinen vaalipiiri,Ulla,Järvilehto
mi,kd,Uudenmaan vaalipiiri,Jouko,Jääskeläinen
mi,ps,Uudenmaan vaalipiiri,Pietari,Jääskeläinen
na,kesk,Helsingin vaalipiiri,Anneli,Jäätteenmäki
na,kok,Turun läänin eteläinen vaalipiiri,Marjut,Kaarilahti
mi,Skdl,Uudenmaan läänin vaalipiiri,Markus,Kainulainen
mi,Sdp,Helsingin kaupungin vaalipiiri,Kai,Kalima
mi,sd,Satakunnan vaalipiiri,Reijo,Kallio
mi,sd,Uudenmaan vaalipiiri,Antti,Kalliomäki
mi,vas,Oulun vaalipiiri,Risto,Kalliorinne
mi,kd,Vaasan vaalipiiri,Bjarne,Kallis
mi,kesk,Satakunnan vaalipiiri,Oiva,Kaltiokumpu
mi,lib,Helsingin vaalipiiri,Seppo,Kanerva
mi,vas,Keski-Suomen vaalipiiri,Matti,Kangas
mi,kok,Pirkanmaan vaalipiiri,Kari,Kantalainen
na,sd,Pirkanmaan vaalipiiri,Saara,Karhu
na,kok,Uudenmaan läänin vaalipiiri,Minna,Karhunen
na,kok,Helsingin vaalipiiri,Arja,Karhuvaara
mi,sd,Oulun vaalipiiri,Tapio,Karjalainen
mi,kesk,Oulun vaalipiiri,Kyösti,Karjula
na,Sdp,Helsingin kaupungin vaalipiiri,Seija,Karkinen
na,kesk,Uudenmaan vaalipiiri,Tanja,Karpela
mi,kok,Keski-Suomen vaalipiiri,Juha,Karpio
na,kok,Varsinais-Suomen vaalipiiri,Marjukka,Karttunen
na,kok,Lapin vaalipiiri,Ulla,Karvo
na,kesk,Lapin vaalipiiri,Tatja,Karvonen
na,Sdp,Kymen läänin vaalipiiri,Anna-Liisa,Kasurinen
mi,kok,Uudenmaan vaalipiiri,Jyrki,Katainen
mi,kok,Satakunnan vaalipiiri,Sampsa,Kataja
na,kok,Uudenmaan vaalipiiri,Pia,Kauma
mi,kesk,Varsinais-Suomen vaalipiiri,Timo,Kaunisto
mi,vas,Hämeen vaalipiiri,Matti,Kauppila
na,kok,Hämeen läänin pohjoinen vaalipiiri,Orvokki,Kauppila
mi,kesk,Pohjois-Karjalan läänin vaalipiiri,Markku,Kauppinen
na,kok,Mikkelin läänin vaalipiiri,Riitta,Kauppinen
mi,Deva,Hämeen läänin eteläinen vaalipiiri,Matti,Kautto
na,sd,Uudenmaan vaalipiiri,Tarja,Kautto
mi,sd,Kymen vaalipiiri,Antero,Kekkonen
mi,kesk,Oulun läänin vaalipiiri,Hannu,Kemppainen
na,kd,Oulun vaalipiiri,Marja-Leena,Kemppainen
na,kesk,Oulun vaalipiiri,Inkeri,Kerola
mi,ps,Oulun vaalipiiri,Pentti,Kettunen
mi,kesk,Pohjois-Savon vaalipiiri,Rauno,Kettunen
mi,kesk,Mikkelin läänin vaalipiiri,Timo,Kietäväinen
mi,sd,Uudenmaan vaalipiiri,Kimmo,Kiljunen
mi,kok,Uudenmaan läänin vaalipiiri,Pekka,Kivelä
na,kesk,Helsingin vaalipiiri,Mari,Kiviniemi
mi,Skdl,Helsingin kaupungin vaalipiiri,Kalevi,Kivistö
na,kok,Pohjois-Karjalan läänin vaalipiiri,Anne,Knaapi-Lamminen
mi,Sdp,Keski-Suomen läänin vaalipiiri,Sakari,Knuuttila
mi,Sdp,Hämeen läänin eteläinen vaalipiiri,Leo,Kohtala
na,kesk,Oulun läänin vaalipiiri,Annikki,Koistinen
mi,kok,Vaasan läänin vaalipiiri,Juho,Koivisto
na,Sdp,Helsingin kaupungin vaalipiiri,Tellervo,Koivisto
mi,ps,Pohjois-Karjalan vaalipiiri,Osmo,Kokko
na,kok,Helsingin vaalipiiri,Paula,Kokkonen
mi,kesk,Mikkelin läänin vaalipiiri,Armas,Komi
na,kesk,Etelä-Savon vaalipiiri,Katri,Komi
mi,vihr,Uudenmaan läänin vaalipiiri,Ville,Komsi
mi,vas,Oulun vaalipiiri,Martti,Korhonen
na,kok,Kuopion vaalipiiri,Riitta,Korhonen
mi,kesk,Satakunnan vaalipiiri,Juha,Korkeaoja
mi,Smp,Oulun läänin vaalipiiri,J. Juhani,Kortesalmi
mi,kesk,Lapin vaalipiiri,Timo E.,Korva
na,kesk,Pirkanmaan vaalipiiri,Laila,Koskela
mi,kesk,Oulun vaalipiiri,Markku,Koski
mi,sd,Kymen vaalipiiri,Valto,Koski
mi,kok,Vaasan läänin vaalipiiri,Heikki,Koskinen
mi,kok,Hämeen vaalipiiri,Jari,Koskinen
mi,sd,Hämeen vaalipiiri,Johannes,Koskinen
na,sd,Varsinais-Suomen vaalipiiri,Marjaana,Koskinen
na,vihr,Helsingin vaalipiiri,Irina,Krohn
mi,sd,Uudenmaan vaalipiiri,Risto,Kuisma
mi,sd,Kuopion läänin vaalipiiri,Jorma,Kukkonen
mi,kok,Pirkanmaan vaalipiiri,Kalervo,Kummola
na,sd,Vaasan vaalipiiri,Miapetra,Kumpula-Natri
mi,vas,Pirkanmaan vaalipiiri,Mikko,Kuoppa
mi,kok,Kymen vaalipiiri,Pekka,Kuosmanen
mi,kok,Lapin läänin vaalipiiri,Osmo,Kurola
mi,kok,Oulun vaalipiiri,Esko,Kurvinen
na,sd,Uudenmaan vaalipiiri,Merja,Kuusisto
na,kesk,Turun läänin eteläinen vaalipiiri,Eeva,Kuuskoski
na,vas,Oulun vaalipiiri,Merja,Kyllönen
na,kok,Uudenmaan läänin vaalipiiri,Lea,Kärhä
mi,kd,Pohjois-Savon vaalipiiri,Kari,Kärkkäinen
mi,sd,Kymen vaalipiiri,Jukka,Kärnä
mi,vihr,Helsingin kaupungin vaalipiiri,Kalle,Könkkölä
na,skl,Pohjois-Karjalan läänin vaalipiiri,Pirkko,Laakkonen
mi,vas,Uudenmaan vaalipiiri,Jaakko,Laakso
na,Sdp,Mikkelin läänin vaalipiiri,Erja,Lahikainen
mi,sd,Pohjois-Karjalan vaalipiiri,Esa,Lahtela
mi,kok,Kymen vaalipiiri,Seppo,Lahtela
mi,kok,Helsingin vaalipiiri,Jere,Lahti
mi,Sdp,Hämeen läänin pohjoinen vaalipiiri,Pentti,Lahti-Nuuttila
mi,kok,Keski-Suomen läänin vaalipiiri,Matti,Lahtinen
mi,vas,Hämeen läänin pohjoinen vaalipiiri,Pertti,Lahtinen
mi,vas,Turun läänin eteläinen vaalipiiri,Ensio,Laine
mi,Sdp,Hämeen läänin pohjoinen vaalipiiri,Jermu,Laine
mi,vas,Helsingin kaupungin vaalipiiri,Reino,Laine
na,sd,Kymen vaalipiiri,Sinikka,Laisaari
mi,sd,Keski-Suomen vaalipiiri,Reijo,Laitinen
mi,kesk,Turun läänin eteläinen vaalipiiri,Jarmo,Laivoranta
mi,kok,Satakunnan vaalipiiri,Kalevi,Lamminen
mi,kok,Turun läänin eteläinen vaalipiiri,Arto,Lampinen
mi,Lkp,Turun läänin pohjoinen vaalipiiri,Eeles,Landström
mi,kesk,Uudenmaan vaalipiiri,Eero,Lankia
mi,sd,Hämeen läänin eteläinen vaalipiiri,Arto,Lapiolahti
mi,kok,Kymen vaalipiiri,Jari,Larikka
mi,kesk,Kymen vaalipiiri,Markku,Laukkanen
mi,VeS,Hämeen läänin pohjoinen vaalipiiri,Vesa,Laukkanen
mi,r,Uudenmaan vaalipiiri,Henrik,Lax
mi,kok,Varsinais-Suomen vaalipiiri,Jouko,Laxell
mi,kok,Satakunnan vaalipiiri,Jouni,Lehtimäki
mi,Sdp,Kuopion läänin vaalipiiri,Lasse,Lehtinen
na,kok,Uudenmaan läänin vaalipiiri,Leila,Lehtinen
na,kesk,Helsingin vaalipiiri,Paula,Lehtomäki
mi,kesk,Mikkelin läänin vaalipiiri,Markku,Lehtosaari
na,kok,Helsingin kaupungin vaalipiiri,Sirkka,Lekman
mi,kesk,Keski-Suomen vaalipiiri,Johannes,Leppänen
mi,Sdp,Mikkelin läänin vaalipiiri,Erkki,Liikanen
na,kok,Oulun vaalipiiri,Suvi,Lindén
na,kesk,Hämeen vaalipiiri,Maija-Liisa,Lindqvist
mi,kesk,Vaasan läänin vaalipiiri,Heimo,Linna
mi,Skyp,Oulun läänin vaalipiiri,Lauri,Linna
na,kok,Uudenmaan läänin vaalipiiri,Tuula,Linnainmaa
na,sd,Hämeen vaalipiiri,Minna,Lintonen
mi,sd,Helsingin vaalipiiri,Paavo,Lipponen
na,sd,Helsingin vaalipiiri,Päivi,Lipponen
mi,sd,Uudenmaan läänin vaalipiiri,Matti,Louekoski
na,kok,Kymen läänin vaalipiiri,Anna-Kaarina,Louvo
na,sd,Uudenmaan vaalipiiri,Leena,Luhtanen
na,Sdp,Uudenmaan läänin vaalipiiri,Sinikka,Luja-Penttilä
na,vihr,Helsingin kaupungin vaalipiiri,Hannele,Luukkainen
mi,kesk,Pohjois-Savon vaalipiiri,Eero,Lämsä
mi,r,Vaasan vaalipiiri,Pehr,Löv
na,vas,Uudenmaan läänin vaalipiiri,Marja-Liisa,Löyttyjärvi
mi,kok,Uudenmaan läänin vaalipiiri,Pekka,Löyttyniemi
mi,r,Vaasan läänin vaalipiiri,Hċkan,Malm
mi,kesk,Lapin vaalipiiri,Hannes,Manninen
mi,kesk,Oulun läänin vaalipiiri,Mauno,Manninen
mi,kok,Uudenmaan vaalipiiri,Markku,Markkula
na,kok,Uudenmaan vaalipiiri,Hanna,Markkula-Kivisilta
mi,kesk,Kuopion läänin vaalipiiri,Olavi,Martikainen
na,kok,Uudenmaan vaalipiiri,Marjo,Matikainen-Kallström
mi,kesk,Oulun läänin vaalipiiri,Kalevi,Mattila
na,vihr,Pirkanmaan vaalipiiri,Rosa,Meriläinen
mi,sd,Uudenmaan läänin vaalipiiri,Lauri,Metsämäki
mi,kesk,Vaasan vaalipiiri,Juha,Mieto
mi,kok,Mikkelin läänin vaalipiiri,Mauri,Miettinen
mi,sd,Varsinais-Suomen vaalipiiri,Jukka,Mikkola
na,skl,Helsingin kaupungin vaalipiiri,Eeva-Liisa,Moilanen
na,kesk,Oulun vaalipiiri,Riikka,Moilanen
mi,kok,Kuopion läänin vaalipiiri,Erkki,Moisander
na,kesk,Hämeen läänin pohjoinen vaalipiiri,Helmi,Morri
na,Sdp,Mikkelin läänin vaalipiiri,Kyllikki,Muttilainen
mi,Sdp,Uudenmaan läänin vaalipiiri,Peter,Muurman
mi,kok,Lapin läänin vaalipiiri,Jouni,Mykkänen
mi,kesk,Oulun vaalipiiri,Kari,Myllyniemi
mi,Sdp,Uudenmaan läänin vaalipiiri,Pekka,Myllyniemi
mi,sd,Mikkelin vaalipiiri,Raimo,Mähönen
mi,kok,Uudenmaan vaalipiiri,Jukka,Mäkelä
na,Sitk,Keski-Suomen läänin vaalipiiri,Tina,Mäkelä
mi,kok,Vaasan vaalipiiri,Pertti,Mäki-Hakola
na,Smp,Uudenmaan läänin vaalipiiri,Marita,Mäkinen
mi,kok,Uudenmaan vaalipiiri,Tapani,Mäkinen
mi,kok,Uudenmaan läänin vaalipiiri,Toivo,Mäkynen
mi,kok,Helsingin vaalipiiri,Lasse,Männistö
na,vas,Kuopion läänin vaalipiiri,Lauha,Männistö
na,Skyp,Pohjois-Karjalan läänin vaalipiiri,Aune,Mänttäri
mi,kesk,Uudenmaan vaalipiiri,Tero,Mölsä
mi,kok,Hämeen läänin eteläinen vaalipiiri,Tapani,Mörttinen
na,r,Ahvenanmaan maakunnan vaalipiiri,Elisabeth,Nauclér
mi,kesk,Keski-Suomen vaalipiiri,Petri,Neittaanmäki
mi,kok,Etelä-Savon vaalipiiri,Olli,Nepponen
mi,Skyp,Lapin läänin vaalipiiri,Artturi,Niemelä
na,Lkp,Uudenmaan läänin vaalipiiri,Terhi,Nieminen-Mäkynen
mi,kok,Uudenmaan vaalipiiri,Sauli,Niinistö
mi,vihr,Uudenmaan läänin vaalipiiri,Paavo,Nikula
mi,r,Vaasan vaalipiiri,Hċkan,Nordman
mi,r,Vaasan läänin vaalipiiri,Ole,Norrback
mi,kesk,Etelä-Savon vaalipiiri,Pekka,Nousiainen
na,kok,Hämeen vaalipiiri,Tuija,Nurmi
mi,sd,Vaasan läänin vaalipiiri,Mats,Nyby
mi,kesk,Lapin läänin vaalipiiri,Lasse,Näsi
mi,kesk,Keski-Suomen vaalipiiri,Lauri,Oinonen
na,sd,Hämeen läänin pohjoinen vaalipiiri,Arja,Ojala
na,vas,Helsingin vaalipiiri,Outi,Ojala
mi,sd,Pirkanmaan vaalipiiri,Reino,Ojala
na,vihr,Hämeen vaalipiiri,Kirsi,Ojansuu-Kaunisto
mi,sd,Keski-Suomen vaalipiiri,Kalevi,Olin
mi,kok,Pirkanmaan vaalipiiri,Heikki A.,Ollila
mi,Lkp,Vaasan läänin vaalipiiri,Juhani,Orrenmaa
mi,kok,Kymen vaalipiiri,Reijo,Paajanen
mi,sd,Helsingin kaupungin vaalipiiri,Reino,Paasilinna
na,sd,Varsinais-Suomen vaalipiiri,Heli,Paasio
mi,sd,Turun läänin eteläinen vaalipiiri,Pertti,Paasio
na,kd,Kymen vaalipiiri,Sari,Palm
mi,kesk,Turun läänin eteläinen vaalipiiri,Lauri,Palmunen
mi,vihr,Uudenmaan läänin vaalipiiri,Eero,Paloheimo
mi,kok,Keski-Suomen vaalipiiri,Mikael,Palola
na,kesk,Helsingin vaalipiiri,Terhi,Peltokorpi
na,Skdl,Helsingin kaupungin vaalipiiri,Kati,Peltola
na,sd,Satakunnan vaalipiiri,Pirkko,Peltomo
na,sd,Keski-Suomen vaalipiiri,Tuula,Peltonen
mi,kok,Turun läänin pohjoinen vaalipiiri,Matti,Pelttari
mi,kesk,Lapin läänin vaalipiiri,Seppo,Pelttari
mi,kesk,Pirkanmaan vaalipiiri,Klaus,Pentti
mi,nuors,Helsingin kaupungin vaalipiiri,Risto,Penttilä
na,kok,Varsinais-Suomen vaalipiiri,Maija,Perho
na,kok,Helsingin vaalipiiri,Sanna,Perkiö
na,kok,Keski-Suomen läänin vaalipiiri,Helena,Pesola
mi,kesk,Kymen läänin vaalipiiri,Mikko,Pesälä
na,kok,Hämeen läänin pohjoinen vaalipiiri,Tuulikki,Petäjäniemi
na,r,Uudenmaan vaalipiiri,Margareta,Pietikäinen
na,kok,Hämeen vaalipiiri,Sirpa,Pietikäinen
na,kok,Helsingin vaalipiiri,Kirsi,Piha
na,Sdp,Keski-Suomen läänin vaalipiiri,Tuula,Pihlajamaa
mi,kok,Vaasan vaalipiiri,Petri,Pihlajaniemi
mi,sd,Oulun vaalipiiri,Raimo,Piirainen
mi,kok,Turun läänin pohjoinen vaalipiiri,Toivo T.,Pohjala
na,kok,Turun läänin pohjoinen vaalipiiri,Aino,Pohjanoksa
mi,sd,Uudenmaan läänin vaalipiiri,Markku,Pohjola
na,sd,Oulun läänin vaalipiiri,Tuija,Pohjola
na,kesk,Lapin läänin vaalipiiri,Hannele,Pokka
mi,vas,Pohjois-Savon vaalipiiri,Iivo,Polvi
mi,vas,Oulun läänin vaalipiiri,Osmo,Polvinen
mi,kesk,Mikkelin läänin vaalipiiri,Pentti,Poutanen
na,sd,Uudenmaan vaalipiiri,Riitta,Prusti
mi,sd,Pohjois-Karjalan läänin vaalipiiri,Matti,Puhakka
mi,kesk,Kymen vaalipiiri,Osmo,Puhakka
mi,vas,Satakunnan vaalipiiri,Veijo,Puhjo
mi,vihr,Oulun vaalipiiri,Erkki,Pulliainen
mi,kesk,Hämeen läänin eteläinen vaalipiiri,Martti,Pura
mi,Skdl,Kymen läänin vaalipiiri,Terho,Pursiainen
na,vihr,Kymen läänin vaalipiiri,Tuija Maaret,Pykäläinen
mi,kok,Hämeen läänin pohjoinen vaalipiiri,Erkki,Pystynen
mi,Sdp,Pohjois-Karjalan läänin vaalipiiri,Raimo,Päivinen
na,sd,Uudenmaan vaalipiiri,Susanna,Rahkonen
mi,Perustusl,Helsingin kaupungin vaalipiiri,Kullervo,Rainio
mi,kok,Oulun vaalipiiri,Lyly,Rajala
mi,sd,Pohjois-Savon vaalipiiri,Kari,Rajamäki
na,Sdp,Mikkelin läänin vaalipiiri,Maija,Rajantie
mi,sd,Kymen vaalipiiri,Jussi,Ranta
mi,kesk,Vaasan vaalipiiri,Aulis,Ranta-Muotio
mi,sd,Hämeen läänin pohjoinen vaalipiiri,Jorma,Rantanen
na,sd,Lapin vaalipiiri,Maija,Rask
mi,Sdp,Vaasan läänin vaalipiiri,Juhani,Raudasoja
na,kd,Pirkanmaan vaalipiiri,Leena,Rauhala
mi,kok,Helsingin kaupungin vaalipiiri,Anssi,Rauramo
mi,kok,Pohjois-Karjalan vaalipiiri,Pekka,Ravi
na,Rkp,Uudenmaan läänin vaalipiiri,Elisabeth,Rehn
mi,kesk,Helsingin vaalipiiri,Olli,Rehn
mi,kesk,Pohjois-Karjalan vaalipiiri,Eero,Reijonen
na,kesk,Oulun läänin vaalipiiri,Tellervo,Renko
mi,Rkp,Vaasan läänin vaalipiiri,Boris,Renlund
na,vas,Hämeen läänin pohjoinen vaalipiiri,Eila,Rimmi
mi,sd,Turun läänin pohjoinen vaalipiiri,Heikki,Rinne
mi,skl,Mikkelin läänin vaalipiiri,Olavi,Ronkainen
mi,sd,Varsinais-Suomen vaalipiiri,Jukka,Roos
mi,Sdp,Turun läänin pohjoinen vaalipiiri,Timo,Roos
na,Deva,Turun läänin pohjoinen vaalipiiri,Irma,Rosnell
mi,kesk,Lapin vaalipiiri,Simo,Rundgren
na,kok,Mikkelin läänin vaalipiiri,Pirjo,Rusanen
mi,kesk,Kuopion läänin vaalipiiri,Matti,Ryhänen
na,kesk,Kuopion vaalipiiri,Mirja,Ryynänen
mi,vihr,Hämeen läänin eteläinen vaalipiiri,Pekka,Räty
mi,Sdp,Turun läänin eteläinen vaalipiiri,Mikko,Rönnholm
mi,sd,Pirkanmaan vaalipiiri,Tero,Rönni
mi,kesk,Oulun vaalipiiri,Pauli,Saapunki
mi,kesk,Vaasan läänin vaalipiiri,Aapo,Saari
mi,kok,Uudenmaan vaalipiiri,Martin,Saarikangas
mi,sd,Uudenmaan vaalipiiri,Matti,Saarinen
mi,vas,Helsingin kaupungin vaalipiiri,Pekka,Saarnio
mi,Skdl,Uudenmaan läänin vaalipiiri,Veikko,Saarto
na,kok,Kuopion läänin vaalipiiri,Riitta,Saastamoinen
mi,kok,Vaasan vaalipiiri,Petri,Salo
mi,kesk,Pirkanmaan vaalipiiri,Pertti,Salovaara
mi,kok,Vaasan vaalipiiri,Janne,Sankelo
mi,kesk,Lapin läänin vaalipiiri,Kimmo,Sarapää
mi,kok,Pirkanmaan vaalipiiri,Kimmo,Sasi
mi,kesk,Kymen läänin vaalipiiri,Juhani,Saukkonen
mi,kok,Oulun läänin vaalipiiri,Oiva,Savela
mi,kesk,Kuopion läänin vaalipiiri,Petter,Savola
mi,kd,Varsinais-Suomen vaalipiiri,Ismo,Seivästö
mi,sd,Etelä-Savon vaalipiiri,Arto,Seppälä
mi,kok,Hämeen vaalipiiri,Timo,Seppälä
mi,vas,Helsingin kaupungin vaalipiiri,Esko,Seppänen
mi,kesk,Lapin vaalipiiri,Janne,Seurujärvi
na,kesk,Vaasan vaalipiiri,Paula,Sihto
na,kok,Hämeen läänin eteläinen vaalipiiri,Outi,Siimes
na,vas,Uudenmaan vaalipiiri,Suvi-Anne,Siimes
na,kok,Helsingin kaupungin vaalipiiri,Eva-Riitta,Siitonen
mi,kesk,Vaasan läänin vaalipiiri,Juho,Sillanpää
na,vihr,Helsingin vaalipiiri,Anni,Sinnemäki
mi,Lkp,Kymen läänin vaalipiiri,Juhani,Sipiläinen
na,vas,Pirkanmaan vaalipiiri,Minna,Sirnö
mi,kesk,Oulun läänin vaalipiiri,Eino,Siuruainen
mi,kok,Uudenmaan vaalipiiri,Juhani,Sjöblom
mi,kd,Kymen vaalipiiri,Sakari,Smeds
mi,vihr,Helsingin vaalipiiri,Osmo,Soininvaara
mi,ps,Hämeen vaalipiiri,Ismo,Soukola
mi,Rkp,Uudenmaan läänin vaalipiiri,Pär,Stenbäck
na,vas,Pirkanmaan vaalipiiri,Marjatta,Stenius-Kaukonen
